tag,l1,l2
!,表情,符号表情
!!,表情,符号表情
!-shaped_pupils,眼睛,瞳孔
!?,表情,符号表情
!_block,物品,道具
!_switch,物品,电子设备
"halo"_halo,饰品,光环
"lead_storm"_powered_minigun,物品,枪
"my_way"_(genshin_impact),物品,道具
"once_upon_a_time_in_mondstadt"_(genshin_impact),食物,正餐
"pick_what_you_like!"_(genshin_impact),食物,正餐
"pile_'em_up"_(genshin_impact),食物,正餐
"pour_la_justice"_(genshin_impact),物品,道具
"snow_on_the_hearth"_(genshin_impact),食物,正餐
"suki"_wo_gengoka_suru_gijutsu,物品,道具
"sweet_dream"_(genshin_impact),食物,正餐
"the_little_beavers"_destroyer_squadron_23_(emblem),物品,载具
"warmth"_(genshin_impact),物品,道具
"way_of_the_strong"_(genshin_impact),物品,道具
"wildminder"_machine_cell_(honkai:_star_rail),物品,电子设备
#beatori,物品,道具
+++,表情,符号表情
+_+,表情,符号表情
+_-,表情,符号表情
+_@,表情,符号表情
...,表情,符号表情
...!,表情,符号表情
...?,表情,符号表情
.357_magnum,物品,道具
.52_gal_(splatoon),物品,武器
.950_jdj,物品,道具
.96_gal_(splatoon),物品,武器
._.,表情,符号表情
07th_expansion,物品,道具
0_0,表情,符号表情
0_days_without_x,物品,道具
0w0,物品,道具
1-up_mushroom,背景,自然
1/114_scale,物品,道具
10.5cm_k_gepanzerte_selbstfahrlafette,物品,道具
10000000-volt_thunderbolt_(pokemon),动作,战斗
10000_yen_note,物品,道具
100_meter_dash,物品,道具
100_points_emoji,表情,符号表情
100plus,物品,道具
101st_airborne,物品,道具
103ki_fes_x_rec:live_~first_crossing~,物品,道具
105_lefh18b2,物品,道具
10_times_quiz,物品,道具
10mm_pistol,物品,枪
10th_mountain_division,背景,自然
110,物品,道具
11_to_iu_na_no_eien_no_sosou,物品,道具
12-piece_bucket,物品,道具
12-pounder_gribeauval,物品,道具
12.7mm_js_05,物品,道具
12.8_flakzwilling,物品,道具
120mm_rheinmetall_l55,物品,道具
1248,物品,道具
12_billion_yen_incident,物品,道具
12cm_granatwerfer_42,物品,道具
13844,物品,道具
1444_(video),物品,道具
148m,物品,道具
14_(number),物品,道具
15-nin_no_richiteki_na_megane-tachi,物品,剑
1500_megawatt_aperture_science_super-colliding_super_button,服装,服装
1565,物品,道具
16-bit,物品,道具
16_color,画风,风格
16_idol_album_(idolish7),服装,制服
16_star_signs_(idolish7),构图,构图
1776,物品,道具
17th_of_ramadan_mosque,物品,道具
18+_symbol,构图,构图
180_head_tilt,身体,身体特征
180_head_turn,身体,身体特征
1830,物品,道具
1853_enfield,物品,道具
1870,物品,道具
1886,物品,道具
1895,物品,道具
1900s_fashion,服装,服装
1910s_fashion,服装,服装
1911,物品,道具
1915,物品,道具
1917,物品,道具
1918,物品,道具
1920s_(style),画风,风格
1920s_fashion,服装,服装
1922,物品,道具
1924,物品,道具
1925,物品,道具
1928,物品,道具
1930s_(style),画风,风格
1930s_fashion,服装,服装
1934,物品,道具
1935,物品,道具
1938,物品,道具
1939,物品,道具
1940,物品,道具
1940s_(style),画风,风格
1940s_fashion,服装,服装
1941,物品,道具
1942,物品,道具
1943,物品,道具
1944,物品,道具
1945,物品,道具
1946,物品,道具
1947,物品,道具
1950s_(style),画风,风格
1950s_fashion,服装,服装
1951,物品,道具
1953_kaiser_dragon,动物,幻想生物
1954,物品,道具
1955,物品,道具
1956,物品,道具
1957,物品,道具
1958,物品,道具
1960,物品,道具
1960s_(style),画风,风格
1960s_fashion,服装,服装
1961,物品,道具
1962,物品,道具
1963,物品,道具
1964,物品,道具
1965,物品,道具
1966,物品,道具
1967,物品,道具
1968,物品,道具
1969,物品,道具
1970,物品,道具
1970s_(style),画风,风格
1970s_fashion,服装,服装
1971,物品,道具
1972,物品,道具
1974,物品,道具
1975,物品,道具
1976,物品,道具
1977,物品,道具
1978,物品,道具
1979,物品,道具
1980,物品,道具
1980_iranian_embassy_siege,物品,道具
1980s_(style),画风,风格
1980s_fashion,服装,服装
1981,物品,道具
1982,物品,道具
1983,物品,道具
1984_(year),物品,道具
1985,物品,道具
1986,物品,道具
1987,物品,道具
1988,物品,道具
1989,物品,道具
1990,物品,道具
1990s_(style),画风,风格
1990s_fashion,服装,服装
1991,物品,道具
1992,物品,道具
1993,物品,道具
1993_russian_constitutional_crisis,物品,道具
1994,物品,道具
1995,物品,道具
1996,物品,道具
1997,物品,道具
1998,物品,道具
1999,物品,道具
1boy,人数,男性人数
1chip_msx,物品,道具
1girl,人数,女性人数
1k17_szhatie,物品,道具
1koma,画风,媒介
1mf10,物品,道具
1nm8_(paradox_live),物品,道具
1other,人数,多人
1p87,物品,道具
1pn58,物品,道具
1st_armored_division,服装,盔甲
1st_cavalry_division,物品,道具
1st_infantry_division_(us_army),动作,性行为
1st_live_tour_~run!_can!_fun!~,物品,道具
1st_scenario_(hundred_line),物品,道具
1up,物品,道具
2000,物品,道具
2000s_(style),画风,风格
2001,物品,道具
2002,物品,道具
2003,物品,道具
2004,物品,道具
2005,物品,道具
2006,物品,道具
2007,物品,道具
2008,物品,道具
2009,物品,道具
2010,物品,道具
2010_fifa_world_cup_final,物品,道具
2011,物品,道具
2011_tohoku_earthquake_and_tsunami,物品,道具
2012,物品,道具
2012_league_of_legends_world_championship,物品,道具
2013,物品,道具
2014,物品,道具
2014_league_of_legends_world_championship,物品,道具
2015,物品,道具
2016,物品,道具
2016_league_of_legends_mid-season_invitational,物品,道具
2016_league_of_legends_world_championship,物品,道具
2016_umamusume_promotional_video,物品,道具
2016_united_states_blizzard,物品,道具
2017,物品,道具
2017_central_mexico_earthquake,动作,性行为
2018,物品,道具
2019,物品,道具
2019-2020_australian_bushfires,物品,道具
2019-2020_hong_kong_protests,物品,道具
2020,物品,道具
2020_us_election,物品,道具
2021,物品,道具
2021_abu_dhabi_grand_prix,物品,道具
2022,物品,道具
2023,物品,道具
2023_china_balloon_incident,物品,道具
2023_france_riots,物品,道具
2023_titan_submersible_incident,物品,道具
2024,物品,道具
2024_attempted_assassination_of_donald_trump,物品,道具
2024_cnn_presidential_debate,物品,道具
2024_crowdstrike_incident,物品,道具
2024_new_york_city_jewish_tunnels,背景,城市
2024_niconico_cyberattack,物品,道具
2024_pokemon_teraleak,动物,幻想生物
2024_south_korea_martial_law_crisis,物品,道具
2024_summer_olympics_opening_ceremony,物品,道具
2024_us_election,物品,道具
2024_wagner_mutiny,物品,道具
2025,物品,道具
2025_hatsune_miku_look-alike_contest,物品,道具
2025_trump-zelenskyy_meeting,物品,道具
2026,物品,道具
2026_kitkat_heist,食物,甜品
2026_united_states_strikes_in_venezuela,物品,道具
2027,物品,道具
2028,物品,道具
2029,物品,道具
2030,物品,道具
2032,物品,道具
2034,物品,道具
203mm_b-4,物品,道具
2068,物品,道具
2074,物品,道具
241543903,物品,道具
25,物品,道具
256fes,物品,道具
25_perspective_box_exercise,物品,道具
25exd,物品,道具
29th_infantry_division,动作,性行为
2_fuel_4_ammo_11_steel,物品,武器
2a36_giatsint-b,物品,道具
2a42,物品,道具
2b14_podnos,物品,道具
2b1_oka,物品,道具
2b_rifle,物品,枪
2boys,人数,男性人数
2d_dating,物品,道具
2fort,物品,道具
2girls,人数,女性人数
2k12_kub,物品,道具
2k22_tunguska,物品,道具
2koma,画风,媒介
2nd_armored_division,服装,盔甲
2nd_division,物品,道具
2nd_kearny_highlanders,物品,道具
2nd_live_tour_~blooming_with_ooo~,物品,道具
2nd_scenario_(hundred_line),物品,道具
2others,人数,多人
2s19_msta,物品,道具
2s1_gvozdika,物品,道具
2s22_bohdana,物品,道具
2s25m,物品,道具
2s35_koalitsiya-sv,物品,道具
2s38,物品,道具
2s3_akatsiya,物品,道具
2s6_tunguska,物品,道具
2s7_pion,物品,道具
2s9_nona,物品,道具
2te116,物品,道具
2x2_rubik's_cube,物品,道具
3-up_moon,背景,天空
3.7_cm_pak_36,物品,道具
30-30_repeater,物品,道具
3000won,物品,道具
300_blackout,物品,道具
302nd_rifle_division_(soviet_union),物品,枪
30th_street_station,背景,城市
311_south_wacker_drive,物品,道具
31st_joint_fighter_squadron_afrika,物品,道具
31st_joint_fighter_squadron_afrika_(emblem),构图,构图
333_(russian_symbol),物品,道具
33_(zawezo),物品,道具
34th_infantry_division,动作,性行为
35th_marine_brigade,物品,道具
360_cockpit,物品,道具
360_panorama,物品,道具
39,物品,道具
3:,动物,猫
3;,物品,道具
3_3,物品,道具
3boys,人数,男性人数
3d,画风,媒介
3d_background,背景,背景
3d_glasses,饰品,眼镜
3d_inset,构图,构图
